Country,Year,Schools,离校人数,入校人数,在校生数,教职工数,专职教师
lower than 18,1997,30446,16,16,20,67,37
lower than 18,1998,33612,15,15,20,61,31
lower than 18,1999,40014,20,,,51,29
lower than 18,2000,41709,,,,55,37
lower than 18,2001,49883,0,0,0,50,34
lower than 18,2002,50030,346,351,748,294,196
lower than 18,2003,58870,330,316,600,286,195
lower than 18,2004,70086,375,331,661,287,200
lower than 18,2005,82692,261,260,638,273,199
lower than 18,2006,83697,250,224,618,270,204
lower than 18,2007,87506,8,13,35,33,23
lower than 18,2008,88891,10,55,80,28,24
lower than 18,2009,77604,80,38,38,28,26
lower than 18,2010,68193,92,36,36,23,21
lower than 18,2011,67280,68,32,32,26,24
lower than 18,2012,63782,124,123,203,85,55
lower than 18,2013,55817,51,126,225,84,66
lower than 18,2014,50415,132,105,379,138,96
lower than 18,2015,43839,115,118,421,158,121
lower than 18,2016,35743,103,264,401,235,203
18-25,1997,168766,4,15,25,36,26
18-25,1998,174464,9,15,28,39,28
18-25,1999,181139,1,27,27,36,27
18-25,2000,179272,,12,28,30,24
18-25,2001,203582,0,13,13,34,24
18-25,2002,167879,588,538,623,99,88
18-25,2003,172845,178,253,501,131,120
18-25,2004,178748,364,490,600,226,183
18-25,2005,203109,506,524,658,251,206
18-25,2006,219934,813,808,1043,316,256
18-25,2007,228792,3,,2,23,20
18-25,2008,233170,3,,2,23,21
18-25,2009,224419,2,8,8,23,21
18-25,2010,219785,4,3,8,21,19
18-25,2011,215149,0,15,33,20,18
18-25,2012,219208,15,59,217,75,57
18-25,2013,209622,13,27,183,75,58
18-25,2014,199161,50,50,180,65,55
18-25,2015,192502,53,56,183,63,56
18-25,2016,168914,48,40,175,65,56
more than 25,1997,327100,71,83,87,48,38
more than 25,1998,320225,18,49,69,43,33
more than 25,1999,381227,,138,138,43,34
more than 25,2000,418833,54,38,106,45,37
more than 25,2001,492863,54,38,106,46,39
more than 25,2002,483949,210,50,70,46,41
more than 25,2003,510546,22,6,54,45,41
more than 25,2004,515607,35,22,247,84,71
more than 25,2005,556744,26,12,341,80,70
more than 25,2006,585411,0,35,263,89,77
more than 25,2007,615447,,,,,
more than 25,2008,685243,,174,174,20,18
more than 25,2009,694643,112,251,305,36,31
more than 25,2010,718442,195,238,348,50,45
more than 25,2011,768318,208,210,350,52,47
more than 25,2012,890416,154,41,284,115,96
more than 25,2013,892345,177,26,137,112,63
more than 25,2014,934208,67,94,165,110,56
more than 25,2015,995315,92,66,158,110,57
more than 25,2016,1014912,40,74,203,110,53
